# The mean marks (1 to 3) behind figures/exp-review-stacked.png: one Claude Opus 5 reviewer per attempt, 10 September 2026 (research/ai-review-2026-09-10.json). A second AI's reading, NOT checked by a person; the 6 September audit remains the authority.
- 10 words, Claude Opus 4.7 (May model) (3 attempts): Code quality 2.0; Sound method 1.7; Honest reporting 2.3; Good decisions 2.0; Complete deliverables 1.7
- 10 words, Claude Opus 4.8 (3 attempts): Code quality 2.7; Sound method 2.3; Honest reporting 2.7; Good decisions 2.7; Complete deliverables 2.0
- 10 words, Claude Opus 5 (3 attempts): Code quality 2.7; Sound method 2.7; Honest reporting 2.0; Good decisions 2.7; Complete deliverables 2.3
- 10 words, Claude Fable 5.1 (3 attempts): Code quality 3.0; Sound method 3.0; Honest reporting 3.0; Good decisions 2.7; Complete deliverables 2.3
- 10 words, GPT-5.5 (3 attempts): Code quality 2.0; Sound method 2.0; Honest reporting 2.0; Good decisions 2.0; Complete deliverables 1.3
- 10 words, GPT-5.6-Sol (3 attempts): Code quality 2.0; Sound method 3.0; Honest reporting 1.7; Good decisions 2.0; Complete deliverables 1.3
- 10 words, GPT-6-Astra, with the note (3 attempts): Code quality 3.0; Sound method 3.0; Honest reporting 3.0; Good decisions 3.0; Complete deliverables 2.3
- 46 words, Claude Opus 4.7 (May model) (3 attempts): Code quality 3.0; Sound method 2.0; Honest reporting 2.0; Good decisions 2.0; Complete deliverables 1.3
- 46 words, Claude Opus 4.8 (3 attempts): Code quality 3.0; Sound method 2.0; Honest reporting 2.3; Good decisions 2.0; Complete deliverables 1.7
- 46 words, Claude Opus 5 (3 attempts): Code quality 3.0; Sound method 3.0; Honest reporting 2.0; Good decisions 2.7; Complete deliverables 2.3
- 46 words, Claude Fable 5.1 (3 attempts): Code quality 3.0; Sound method 3.0; Honest reporting 2.3; Good decisions 2.7; Complete deliverables 2.7
- 46 words, GPT-5.5, with the note (3 attempts): Code quality 2.7; Sound method 2.3; Honest reporting 2.0; Good decisions 2.0; Complete deliverables 2.0
- 46 words, GPT-5.6-Sol, with the note (3 attempts): Code quality 3.0; Sound method 2.7; Honest reporting 2.3; Good decisions 2.7; Complete deliverables 2.3
- 46 words, GPT-6-Astra, with the note (3 attempts): Code quality 3.0; Sound method 3.0; Honest reporting 3.0; Good decisions 3.0; Complete deliverables 3.0
- 1,673 words, Claude Opus 4.7 (May model) (3 attempts): Code quality 2.3; Sound method 1.7; Honest reporting 1.7; Good decisions 2.3; Complete deliverables 2.0
- 1,673 words, Claude Opus 4.8 (3 attempts): Code quality 2.7; Sound method 3.0; Honest reporting 2.0; Good decisions 2.7; Complete deliverables 1.7
- 1,673 words, Claude Opus 5 (3 attempts): Code quality 3.0; Sound method 3.0; Honest reporting 2.7; Good decisions 3.0; Complete deliverables 2.3
- 1,673 words, Claude Fable 5.1 (3 attempts): Code quality 3.0; Sound method 3.0; Honest reporting 3.0; Good decisions 3.0; Complete deliverables 3.0
- 1,673 words, GPT-5.5 (1 attempts): Code quality 3.0; Sound method 1.0; Honest reporting 2.0; Good decisions 2.0; Complete deliverables 2.0
- 1,673 words, GPT-5.5, with the note (1 attempts): Code quality 3.0; Sound method 2.0; Honest reporting 2.0; Good decisions 2.0; Complete deliverables 3.0
- 1,673 words, GPT-5.6-Sol, with the note (3 attempts): Code quality 3.0; Sound method 3.0; Honest reporting 2.7; Good decisions 3.0; Complete deliverables 2.0
- 1,673 words, GPT-6-Astra, with the note (3 attempts): Code quality 3.0; Sound method 2.7; Honest reporting 3.0; Good decisions 2.7; Complete deliverables 3.0
